numero_artigo,caput
340,"Provocar a ação de autoridade, comunicando-lhe a ocorrência de crime ou de contravenção que sabe não se ter verificado:"
341,"Acusar-se, perante a autoridade, de crime inexistente ou prati - cado por outrem:"
342,"Fazer afirmação falsa, ou negar ou calar a verdade como teste - munha, perito, contador, tradutor ou intérprete em processo judicial, ou administrativo, inquérito policial, ou em juízo arbitral:"
343,"Dar, oferecer ou prometer dinheiro ou qualquer outra vantagem a testemunha, perito, contador, tradutor ou intérprete, para fazer afirmação falsa, negar ou calar a verdade em depoimento, perícia, cálculos, tradução ou interpretação:"
344,"Usar de violência ou grave ameaça, com o fim de favorecer interesse próprio ou alheio, contra autoridade, parte, ou qualquer outra pessoa que funciona ou é chamada a intervir em processo judicial, policial ou administrativo, ou em juízo arbitral:"
345,"Fazer justiça pelas próprias mãos, para satisfazer pretensão, embora legítima, salvo quando a lei o permite:"
346,"Tirar, suprimir, destruir ou danificar coisa própria, que se acha em poder de terceiro por determinação judicial ou convenção:"
347,"Inovar artificiosamente, na pendência de processo civil ou ad - ministrativo, o estado de lugar, de coisa ou de pessoa, com o fim de induzir a erro o juiz ou o perito:"
348,Auxiliar a subtrair-se à ação de autoridade pública autor de crime a que é cominada pena de reclusão:
349,"Prestar a criminoso, fora dos casos de coautoria ou de receptação, auxílio destinado a tornar seguro o proveito do crime:"
350,"Ordenar ou executar medida privativa de liberdade individual, sem as formalidades legais ou com abuso de poder:"
351,Promover ou facilitar a fuga de pessoa legalmente presa ou submetida a medida de segurança detentiva:
352,"Evadir-se ou tentar evadir-se o preso ou o indivíduo submetido a medida de segurança detentiva, usando de violência contra a pessoa:"
353,"Arrebatar preso, a fim de maltratá-lo, do poder de quem o tenha sob custódia ou guarda:"
354,"Amotinarem-se presos, perturbando a ordem ou disciplina da prisão:"
355,"Trair, na qualidade de advogado ou procurador, o dever profis - sional, prejudicando interesse, cujo patrocínio, em juízo, lhe é confiado:"
356,"Inutilizar, total ou parcialmente, ou deixar de restituir autos, documento ou objeto de valor probatório, que recebeu na qualidade de advogado ou procurador:"
357,"Solicitar ou receber dinheiro ou qualquer outra utilidade, a pre - texto de influir em juiz, jurado, órgão do Ministério Público, funcionário de justiça, perito, tradutor, intérprete ou testemunha:"
358,"Impedir, perturbar ou fraudar arrematação judicial; afastar ou procurar afastar concorrente ou licitante, por meio de violência, grave ameaça, fraude ou oferecimento de vantagem:"
359,"Exercer função, atividade, direito, autoridade ou múnus, de que foi suspenso ou privado por decisão judicial:136 Código Penal"
360,"Ressalvada a legislação especial sobre os crimes contra a existên - cia, a segurança e a integridade do Estado e contra a guarda e o emprego da economia popular, os crimes de imprensa e os de falência, os de responsa - bilidade do Presidente da República e dos Governadores ou Interventores, e os crimes militares, revogam-se as disposições em contrário."
361,"Este Código entrará em vigor no dia 1o de janeiro de 1942. Rio de Janeiro, 7 de dezembro de 1940; 119o da Independência e 52o da República. GETÚLIO V ARGAS – Francisco Campos Decretado em 7/12/1940, publicado no DOU de 31/12/1940 e retificado no DOU de 3/1/1941.Conheça outras obras publicadas pela Coordenação de Edições Técnicas www.senado.leg.br/livrariaO volume apresenta o Código Penal, que vigora no País há mais de sete décadas. Ele resultou dos estudos de uma comissão criada ainda durante o Estado Novo (1937-1945), presidida por Francisco Campos, ministro da Justiça de Getúlio Vargas. Foi instituído pelo Decreto-Lei no 2.848, de dezembro de 1940, que só entrou em vigor em 1942. O leitor pode encontrar mais informações sobre Direito Penal em outra obra do Senado, a Coletânea básica penal , que, além do Código Penal, contém os dispositivos constitucionais pertinentes ao assunto, o Código de Processo"
